"Braintree v.zero - Configuration","Braintree v.zero - Configuration"
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"Braintree PHP SDK Version","Braintree PHP SDK Version"
"Magento Braintree v.zero Version","Magento Braintree v.zero Version"
"Braintree Account Details","Braintree Account Details"
"Environment","Environment"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />"
"Your API details above will need to reflect your Sandbox or your Production account.","Your API details above will need to reflect your Sandbox or your Production account."
"Sandbox","Sandbox"
"Production","Production"
"Merchant ID","Merchant ID"
"Merchant Account ID","Merchant Account ID"
"Public Key","Public Key"
"Private Key","Private Key"
"Testing Settings","Testing Settings"
"Debug","Debug"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information."
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details."
"Enabled","Enabled"
"Title","Title"
"Capture","Capture"
"Complete Order Status","Complete Order Status"
"Features","Features"
"Payment Type","Payment Type"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault"
"Single Payment","Single Payment"
"Future Payments","Future Payments"
"Enable Vault","Enable Vault"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again."
"Locale","Locale"
"The locale for the PayPal popup window","The locale for the PayPal popup window"
"Australia","Australia"
"Canada","Canada"
"France","France"
"Germany","Germany"
"Great Britain & Ireland","Great Britain & Ireland"
"Hong Kong","Hong Kong"
"Italy","Italy"
"Spain","Spain"
"United States","United States"
"Display","Display"
"Sort Order","Sort Order"
"Braintree v.zero - Credit Card","Braintree v.zero - Credit Card"
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details."
"Payment Action","Payment Action"
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />"
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout."
"Authorize","Authorize"
"Authorize & Capture","Authorize & Capture"
"Capture Action","Capture Action"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","If you're just authorizing transactions you can define at what point they should be submitted for settlement."
"Invoice","Invoice"
"Shipment","Shipment"
"New Order Status","New Order Status"
"Enable Vault/Saved Cards","Enable Vault/Saved Cards"
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again."
"Enable 3D Secure","Enable 3D Secure"
